Date,Raw kNDVI,Wet season
2010/7/1,0.602,1
2010/8/1,0.587,0
2010/9/1,0.573,0
2010/10/1,0.6,0
2010/11/1,0.616,0
2010/12/1,0.595,1
2011/1/1,0.617,1
2011/2/1,0.616,1
2011/3/1,0.617,1
2011/4/1,0.604,1
2011/5/1,0.588,1
2011/6/1,0.608,1
2011/7/1,0.587,1
2011/8/1,0.62,0
2011/9/1,0.601,0
2011/10/1,0.604,0
2011/11/1,0.612,0
2011/12/1,0.619,1
2012/1/1,0.62,1
2012/2/1,0.605,1
2012/3/1,0.535,1
2012/4/1,0.439,1
2012/5/1,0.58,1
2012/6/1,0.599,1
2012/7/1,0.62,1
2012/8/1,0.623,0
2012/9/1,0.624,0
2012/10/1,0.599,0
2012/11/1,0.633,0
2012/12/1,0.619,1
2013/1/1,0.614,1
2013/2/1,0.539,1
2013/3/1,0.539,1
2013/4/1,0.601,1
2013/5/1,0.537,1
2013/6/1,0.603,1
2013/7/1,0.622,1
2013/8/1,0.648,0
2013/9/1,0.611,0
2013/10/1,0.633,0
2013/11/1,0.636,0
2013/12/1,0.631,0
2014/1/1,0.604,1
2014/2/1,0.633,1
2014/3/1,0.618,1
2014/4/1,0.589,1
2014/5/1,0.593,1
2014/6/1,0.599,1
2014/7/1,0.595,1
2014/8/1,0.613,0
2014/9/1,0.595,0
2014/10/1,0.63,0
2014/11/1,0.614,0
2014/12/1,0.595,0
2015/1/1,0.612,1
2015/2/1,0.544,1
2015/3/1,0.532,1
2015/4/1,0.586,1
2015/5/1,0.581,1
2015/6/1,0.623,1
2015/7/1,0.613,1
2015/8/1,0.63,0
2015/9/1,0.603,0
2015/10/1,0.609,0
2015/11/1,0.629,0
2015/12/1,0.605,0
2016/1/1,0.614,1
2016/2/1,0.53,1
2016/3/1,0.516,1
2016/4/1,0.548,1
2016/5/1,0.605,1
2016/6/1,0.621,1
2016/7/1,0.612,1
2016/8/1,0.576,0
2016/9/1,0.591,0
2016/10/1,0.6,0
2016/11/1,0.595,0
2016/12/1,0.615,1
2017/1/1,0.607,1
2017/2/1,0.63,1
2017/3/1,0.561,1
2017/4/1,0.49,1
2017/5/1,0.615,1
2017/6/1,0.596,1
2017/7/1,0.602,1
2017/8/1,0.625,0
2017/9/1,0.597,0
2017/10/1,0.605,0
2017/11/1,0.623,0
2017/12/1,0.596,1
2018/1/1,0.566,1
2018/2/1,0.644,1
2018/3/1,0.624,1
2018/4/1,0.589,1
2018/5/1,0.6,1
2018/6/1,0.592,1
2018/7/1,0.57,1
2018/8/1,0.618,0
2018/9/1,0.627,0
2018/10/1,0.63,0
2018/11/1,0.62,0
2018/12/1,0.599,1
2019/1/1,0.599,1
2019/2/1,0.469,1
2019/3/1,0.56,1
2019/4/1,0.576,1
2019/5/1,0.6,1
2019/6/1,0.64,1
2019/7/1,0.619,1
2019/8/1,0.624,0
2019/9/1,0.638,0
2019/10/1,0.615,0
2019/11/1,0.589,0
2019/12/1,0.645,1
2020/1/1,0.636,1
2020/2/1,0.506,1
2020/3/1,0.596,1
2020/4/1,0.585,1
2020/5/1,0.604,1
2020/6/1,0.622,1
2020/7/1,0.618,1
2020/8/1,0.616,0
2020/9/1,0.61,0
2020/10/1,0.631,0
2020/11/1,0.635,1
2020/12/1,0.615,1
2021/1/1,0.623,1
2021/2/1,0.606,1
2021/3/1,0.603,1
2021/4/1,0.603,1
2021/5/1,0.62,1
2021/6/1,0.595,1
2021/7/1,0.613,1
2021/8/1,0.595,1
2021/9/1,0.587,0
2021/10/1,0.595,0
2021/11/1,0.586,0
2021/12/1,0.625,1
2022/1/1,0.612,1
2022/2/1,0.549,1
2022/3/1,0.516,1
2022/4/1,0.553,1
2022/5/1,0.627,1
2022/6/1,0.603,1
2022/7/1,0.617,1
2022/8/1,0.594,0
2022/9/1,0.6,0
2022/10/1,0.623,0
2022/11/1,0.599,0
2022/12/1,0.589,1
